Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\BenchmarkSuite1.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.6,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.6  Empfehlung:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.3"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\BenchmarkSuite1.csproj,,,,,,,,Aktuelles Zielframework: net9.0 Empfohlenes Zielframework: net10.0
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,DataEntities\DataEntities.csproj,File,DataEntities\DataEntities.csproj,,,,,,,,Aktuelles Zielframework: net9.0 Empfohlenes Zielframework: net10.0
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,Products\Products.csproj,File,Products\Products.csproj,,,System.Text.Json 9.0.6,,,,,"System.Text.Json, 9.0.6  Empfehlung:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,Products\Products.csproj,File,Products\Products.csproj,,,System.Formats.Asn1 9.0.6,,,,,"System.Formats.Asn1, 9.0.6  Empfehlung:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,Products\Products.csproj,File,Products\Products.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.6,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.6  Empfehlung:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,Products\Products.csproj,File,Products\Products.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.6,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.6  Empfehlung:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.3"
NuGet.0002,Ein NuGet-Paketupgrade wird empfohlen,Active,Potential,1,Products\Products.csproj,File,Products\Products.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0  Empfehlung:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,Products\Products.csproj,File,Products\Products.csproj,,,,,,,,Aktuelles Zielframework: net9.0 Empfohlenes Zielframework: net10.0
Project.0002,Die Zielframeworks des Projekts müssen geändert werden,Active,Mandatory,1,Store\Store.csproj,File,Store\Store.csproj,,,,,,,,Aktuelles Zielframework: net9.0 Empfohlenes Zielframework: net10.0
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\obj\Release\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/ProductsDebug_razor.g.cs,631,11,T:System.Uri,,,,,"return httpClient?.BaseAddress?.ToString() ?? ""Unknown"";"
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\obj\Release\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/About_razor.g.cs,140,8,T:System.Uri,,,,,var uri = new Uri(NavigationManager.Uri);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\obj\Release\net9.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Components/Pages/About_razor.g.cs,140,8,M:System.Uri.#ctor(System.String),,,,,var uri = new Uri(NavigationManager.Uri);
Api.0003,Verhaltensänderung bei ausgewählter .NET-Version,Active,Potential,1,Store\Store.csproj,File,Store\Services\ProductService.cs,72,8,T:System.Net.Http.HttpContent,,,,,return await response.Content.ReadFromJsonAsync<Product>();
